Query_ID,Query_Text,Index_Name,Document_ID,Author,Book,Aphorism_Number,Aphorism_Content,Search_Score,Relevance_Score,Evaluator_Comments
Q1,Love as collective happiness,aphorisms_basic,0MVd2ZcBtDh5Hkqo_4hu,Friedrich Wilhelm Nietzsche,The Joyful Wisdom,14,"_What is called Love._--The lust of property, and love: what different associations each of these ideas evoke!--and yet it might be the same impulse twice named: on the one occasion disparaged from the standpoint of those already possessing (in whom the impulse has attained something of repose,--who are now apprehensive for the safety of their ""possession""); on the other occasion viewed from the standpoint of the unsatisfied and thirsty, and therefore glorified as ""good."" Our love of our neighbour,--is it not a striving after new _property?_ And similarly our love of knowledge, of truth; and in general all the striving after novelties? We gradually become satiated with the old and securely possessed, and again stretch out our hands; even the finest landscape in which we live for three months is no longer certain of our love, and any kind of more distant coast excites our covetousness: the possession for the most part becomes smaller through possessing. Our pleasure in ourselves seeks to maintain itself by always transforming something new _into ourselves,_--that is just possessing. To become satiated with a possession, that is to become satiated with ourselves. (One can also suffer from excess,--even the desire to cast away, to share out, may assume the honourable name of ""love."") When we see any one suffering, we willingly utilise the opportunity then afforded to take possession of him; the beneficent and sympathetic man, for example, does this; he also calls the desire for new possession awakened in him, by the name of ""love,"" and has enjoyment in it, as in a new acquisition suggesting itself to him. The love of the sexes, however, betrays itself most plainly as the striving after possession: the lover wants the unconditioned, sole possession of the person longed for by him; he wants just as absolute power over her soul as over her body; he wants to be loved solely, and to dwell and rule in the other soul as what is highest and most to be desired. When one considers that this means precisely to _exclude_ all the world from a precious possession, a happiness, and an enjoyment; when one considers that the lover has in view the impoverishment and privation of all other rivals, and would like to become the dragon of his golden hoard, as the most inconsiderate and selfish of all ""conquerors"" and exploiters; when one considers finally that to the lover himself, the whole world besides appears indifferent, colourless, and worthless, and that he is ready to make every sacrifice, disturb every arrangement, and put every other interest behind his own,--one is verily surprised that this ferocious lust of property and injustice of sexual love should have been glorified and deified to such an extent at all times; yea, that out of this love the conception of love as the antithesis of egoism should have been derived, when it is perhaps precisely the most unqualified expression of egoism. Here, evidently, the non-possessors and desirers have determined the usage of language,--there were, of course, always too many of them. Those who have been favoured with much possession and satiety, have, to be sure, dropped a word now and then about the ""raging demon,"" as, for instance, the most lovable and most beloved of all the Athenians--Sophocles; but Eros always laughed at such revilers,--they were always his greatest favourites.--There is, of course, here and there on this terrestrial sphere a kind of sequel to love, in which that covetous longing of two persons for one another has yielded to a new desire and covetousness, to a _common,_ higher thirst for a superior ideal standing above them: but who knows this love? Who has experienced it? Its right name is _friendship._",10.907878,1,
Q1,Love as collective happiness,aphorisms_basic,kMVe2ZcBtDh5HkqoJo-Z,Ludwig Feuerbach,Philosophy of Future,35,"The old philosophy maintained that that which could not be thought of also did not exist; the new philosophy maintains that that which is not loved or cannot be loved does not exist.  But that which cannot be loved can also not be adored.  That which is the object of religion can alone be the object of philosophy. Love is not only objectively but also subjectively the criterion of being, the criterion of truth and reality.  Where there is no love there is also no truth.  And only he who loves something is also something - to be nothing and to love nothing is one and the same thing.  The more one is, the more one loves, and vice versa.",10.877727,1,
Q1,Love as collective happiness,aphorisms_basic,sMVe2ZcBtDh5HkqoFYy8,Friedrich Wilhelm Nietzsche,The Joyful Wisdom,263,"_Without Vanity._--When we love we want our defects to remain concealed,--not out of vanity, but lest the person loved should suffer therefrom. Indeed, the lover would like to appear as a God,--and not out of vanity either.",10.871431,0,
Q1,Love as collective happiness,aphorisms_basic,AMVe2ZcBtDh5HkqoM5JX,Ludwig Feuerbach,The Essence of Religion,55,"«As your heart, so is your God.» As the wishes of men , so are their Gods. The Greeks had limited Gods - that means : they had limited wishes . The Greeks did not wish to live forever, they only wished not to grow old and die, and they did not absolutely wish not to die, they only wished not to die now - unpleasant things always come too soon for man - only not in the bloom of their age, only not of a violent, painful death ; (25) they did not wish to be saved in heaven, only happy, only to live without trouble and pain ; they did not sigh as the Christians do, because they were subject to the necessity of Nature, to the wants of sexual instinct, of sleep, of eating and drinking ; they still submitted in their wishes to the limits of human nature ; they were not yet creators from nothing, they did not yet make wine from water, they only purified and distilled the water of Nature and changed it in an organic way into the blood of the Gods ; they drew the contents of divine and blissful life not from mere imagination, but from the materials of the real world ; they built the heaven of the Gods upon the ground of this earth. The Greeks did not make the divine,  the possible being, the original and end of the real one, but they made the real being the measure of the possible one. Even when they had refined and spiritualized their Gods by means of philosophy, their wishes were founded upon the ground of reality and human nature.. The Gods are realized wishes ; but the highest wish, the highest bliss of the philosopher, of the thinker as such,, is to think undisturbed. The Gods of the Greek philosopher - at least of the Greek philosopher par excellence, of the philosophical Jove, of Aristotle - are therefore undisturbed thinkers ; their happiness, their divinity, consists in the uninterrupted activity of thinking. But this activity, this happiness is itself a happiness, real within this world, within human nature - although here limited by interruptions - a defined, special, and therefore, in the conception of Christians, limited and poor happiness which is contradictory to the essence of true happiness ; for Christians have no limited but an unlimited God, surpassing all natural necessity, superhuman, extramundane,. transcendental,  tliey have unlimited , transcendental wishes which go beyond the world , beyond Nature , beyond the essence of man -  absolutely fantastic icishes. Christians wish to be infinitely greater and happier than the Gods of the Olympus ; their wish is a heaven in which all limits and all necessity of Nature are destroyed and all icishes are accomplished; (26) a heaven in which there exist no wants , no sufferings , no icounds , no struggles , no passions , no disturbances, no change of day and night, light and shade, joy and pain, as in the heaven of the Greeks. In short the object of their belief is no longer a limited, defined God, a God with the determined name of Jove, or Pluto, or Vulcan, but God without appellation, because the object of their wishes is not a named, finite, earthly happiness, a determined enjoyment, such as the enjoyment of love, or of beautiful music, or of moral liberty, or of thinking, but an enjoyment which embraces all enjoyments, yet which for this very reason is a transcendental one, surpassing all ideas and thoughts, the enjoyment of an infinite, unlimited, unspeakable, indescribable happiness. Happiness and divinity are the same thing. Happiness as an object of belief, of imagination, generally as a theoretical object, is the Deity, the deity as an object of the heart, of the will, (2T) of the wish as a practical object generally, is happiness. Or rather, the deity is an idea the truth and reality of which is only happiness. As far as the desire of happiness goes, so far, and no further, goes the idea of the deity. He who no longer has any supernatural wishes, has no longer any supernatural beings either.",10.352247,0,
Q1,Love as collective happiness,aphorisms_basic,TMVe2ZcBtDh5HkqoGY1W,Friedrich Wilhelm Nietzsche,The Joyful Wisdom,302,"_The Danger of the Happiest Ones._--To have fine senses and a fine taste; to be accustomed to the select and the intellectually best as our proper and readiest fare; to be blessed with a strong, bold, and daring soul; to go through life with a quiet eye and a firm step, ever ready for the worst as for a festival, and full of longing for undiscovered worlds and seas, men and Gods; to listen to all joyous music, as if there perhaps brave men, soldiers and seafarers, took a brief repose and enjoyment, and in the profoundest pleasure of the moment were overcome with tears and the whole purple melancholy of happiness: who would not like all this to be _his_ possession, his condition! It was the _happiness of Homerr_! The condition of him who invented the Gods for the Greeks,--nay, who invented _his_ Gods for himself! But let us not conceal the fact that with this happiness of Homer in one's soul, one is more liable to suffering than any other creature under the sun! And only at this price do we purchase the most precious pearl that the waves of existence have hitherto washed ashore! As its possessor one always becomes more sensitive to pain, and at last too sensitive: a little displeasure and loathing sufficed in the end to make Homer disgusted with life. He was unable to solve a foolish little riddle which some young fishers proposed to him! Yes, the little riddles are the dangers of the happiest ones!--",9.842263,0,
Q1,Love as collective happiness,aphorisms_basic,QMVe2ZcBtDh5HkqoH44x,Friedrich Wilhelm Nietzsche,The Joyful Wisdom,363,"_How each Sex has its Prejudice about Love.--_Notwithstanding all the concessions which I am inclined to make to the monogamie prejudice, I will never admit that we should speak of _equal_ rights in the love of man and woman: there are no such equal rights. The reason is that man and woman understand something different by the term love,--and it belongs to the conditions of love in both sexes that the one sex does _not_ presuppose the same feeling, the same conception of ""love,"" in the other sex. What woman understands by love is clear enough: complete surrender (not merely devotion) of soul and body, without any motive, without any reservation, rather with shame and terror at the thought of a devotion restricted by clauses or associated with conditions. In this absence of conditions her love is precisely a _faith:_ woman has no other.--Man, when he loves a woman, _wants_ precisely this love from her; he is consequently, as regards himself, furthest removed from the prerequisites of feminine love; granted, however, that there should also be men to whom on their side the demand for complete devotion is not unfamiliar,--well, they are really--not men. A man who loves like a woman becomes thereby a slave; a woman, however, who loves like a woman becomes thereby a _more perfect_ woman. ... The passion of woman in its unconditional renunciation of its own rights presupposes in fact that there does _not_ exist on the other side an equal _pathos,_ an equal desire for renunciation: for if both renounced themselves out of love, there would result--well, I don't know what, perhaps a _horror vacui?_ Woman wants to be taken and accepted as a possession, she wishes to be merged in the conceptions of ""possession"" and ""possessed""; consequently she wants one who _takes,_ who does not offer and give himself away, but who reversely is rather to be made richer in ""himself""--by the increase of power, happiness and faith which the woman herself gives to him. Woman gives herself, man takes her.--I do not think one will get over this natural contrast by any social contract, or with the very best will to do justice, however desirable it may be to avoid bringing the severe, frightful, enigmatical, and unmoral elements of this antagonism constantly before our eyes. For love, regarded as complete, great, and full, is nature, and as nature, is to all eternity something ""unmoral.""_--Fidelity_ is accordingly included in woman's love, it follows from the definition thereof; with man fidelity _may_ readily result in consequence of his love, perhaps as gratitude or idiosyncrasy of taste, and so-called elective affinity, but it does not belong to the _essence_ of his love--and indeed so little, that one might almost be entitled to speak of a natural opposition between love and fidelity in man, whose love is just a desire to possess, and _not_ a renunciation and giving away; the desire to possess, however, comes to an end every time with the possession.... As a matter of fact it is the more subtle and jealous thirst for possession in a man (who is rarely and tardily convinced of having this ""possession""), which makes his love continue; in that case it is even possible that his love may increase after the surrender,--he does not readily own that a woman has nothing more to ""surrender"" to him.--",9.664148,0,
Q1,Love as collective happiness,aphorisms_basic,cMVe2ZcBtDh5HkqoA4kH,Friedrich Wilhelm Nietzsche,The Joyful Wisdom,54,"_The Consciousness of Appearance.--_How wonderfully and novelly, and at the same time how awfully and ironically, do I feel myself situated with respect to collective existence, with my knowledge! I have _discovered_ for myself that the old humanity and animality, yea, the collective primeval age, and the past of all sentient being, continues to meditate, love, hate, and reason in me,--I have suddenly awoke in the midst of this dream, but merely to the consciousness that I just dream, and that I _must_ dream on in order not to perish; just as the sleep-walker must dream on in order not to tumble down. What is it that is now ""appearance"" to me! Verily, not the antithesis of any kind of essence,--what knowledge can I assert of any kind of essence whatsoever, except merely the predicates of its appearance! Verily not a dead mask which one could put upon an unknown X, and which to be sure one could also remove! Appearance is for me the operating and living thing itself; which goes so far in its self-mockery as to make me feel that here there is appearance, and Will o' the Wisp, and spirit-dance, and nothing more,--that among all these dreamers, I also, the ""thinker,"" dance my dance, that the thinker is a means of prolonging further the terrestrial dance, and in so far is one of the masters of ceremony of existence, and that the sublime consistency and connectedness of all branches of knowledge is perhaps, and will perhaps, be the best means for _maintaining_ the universality of the dreaming, the complete, mutual understandability of all those dreamers, and thereby _the duration of the dream_.",8.950537,0,
Q1,Love as collective happiness,aphorisms_basic,2MVe2ZcBtDh5HkqoHI26,Friedrich Wilhelm Nietzsche,The Joyful Wisdom,337,"_Future ""Humanity.""--_When I look at this age with the eye of a distant future, I find nothing so remarkable in the man of the present day as his peculiar virtue and sickness called ""the historical sense."" It is a tendency to something quite new and foreign in history: if this embryo were given several centuries and more, there might finally evolve out of it a marvellous plant, with a smell equally marvellous, on account of which our old earth might be more pleasant to live in than it has been hitherto. We moderns are just beginning to form the chain of a very powerful, future sentiment, link by link,--we hardly know what we are doing. It almost seems to us as if it were not the question of a new sentiment, but of the decline of all old sentiments:--the historical sense is still something so poor and cold, and many are attacked by it as by a frost, and are made poorer and colder by it. To others it appears as the indication of stealthily approaching age, and our planet is regarded by them as a melancholy invalid, who, in order to forget his present condition, writes the history of his youth. In fact, this is one aspect of the new sentiment. He who knows how to regard the history of man in its entirety as _his own history,_ feels in the immense generalisation all the grief of the invalid who thinks of health, of the old man who thinks of the dream of his youth, of the lover who is robbed of his beloved, of the martyr whose ideal is destroyed, of the hero on the evening of the indecisive battle which has brought him wounds and the loss of a friend. But to bear this immense sum of grief of all kinds, to be able to bear it, and yet still be the hero who at the commencement of a second day of battle greets the dawn and his happiness, as one who has an horizon of centuries before and behind him, as the heir of all nobility, of all past intellect, and the obligatory heir (as the noblest) of all the old nobles; while at the same time the first of a new nobility, the equal of which has never been seen nor even dreamt of: to take all this upon his soul, the oldest, the newest, the losses, hopes, conquests, and victories of mankind: to have all this at last in one soul, and to comprise it in one feeling:--this would necessarily furnish a happiness which man has not hitherto known,--a God's happiness, full of power and love, full of tears and laughter, a happiness which, like the sun in the evening, continually gives of its inexhaustible riches and empties into the sea,--and like the sun, too, feels itself richest when even the poorest fisherman rows with golden oars! This divine feeling might then be called--humanity!",8.741209,1,
Q1,Love as collective happiness,aphorisms_basic,yMVe2ZcBtDh5HkqoC4oZ,Friedrich Wilhelm Nietzsche,The Joyful Wisdom,141,"_Too Oriental._--What? A God who loves men provided that they believe in him, and who hurls frightful glances and threatenings at him who does not believe in this love! What? A conditioned love as the feeling of an almighty God! A love which has not even become master of the sentiment of honour and of the irritable desire for vengeance! How Oriental is all that! ""If I love thee, what does it concern thee?""[1] is already a sufficient criticism of the whole of Christianity.",8.451313,1,
Q1,Love as collective happiness,aphorisms_basic,zMVe2ZcBtDh5HkqoHI11,Friedrich Wilhelm Nietzsche,The Joyful Wisdom,334,"_One must Learn to Love.--_This is our experience in music: we must first _learn_ in general _to hear,_ to hear fully, and to distinguish a theme or a melody, we have to isolate and limit it as a life by itself; then we need to exercise effort and good-will in order _to endure_ it in spite of its strangeness we need patience towards its aspect and expression and indulgence towards what is odd in it:--in the end there comes a moment when we are _accustomed_ to it, when we expect it, when it dawns upon us that we should miss it if it were lacking; and then it goes on to exercise its spell and charm more and more, and does not cease until we have become its humble and enraptured lovers, who want it, and want it again, and ask for nothing better from the world.--It is thus with us, however, not only in music: it is precisely thus that we have _learned to love_ everything that we love. We are always finally recompensed for our good-will, our patience reasonableness and gentleness towards what is unfamiliar, by the unfamiliar slowly throwing off its veil and presenting itself to us as a new, ineffable beauty:--that is its _thanks_ for our hospitality. He also who loves himself must have learned it in this way: there is no other way. Love also has to be learned.",8.024929,1,
